unit,tra_meas,airp_pr\time	2017Q2 	2017Q1 	2017M07 	2017M06 	2017M05 	2017M04 	2017M03 	2017M02 	2017M01 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2016M12 	2016M11 	2016M10 	2016M09 	2016M08 	2016M07 	2016M06 	2016M05 	2016M04 	2016M03 	2016M02 	2016M01 	2016 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2015M12 	2015M11 	2015M10 	2015M09 	2015M08 	2015M07 	2015M06 	2015M05 	2015M04 	2015M03 	2015M02 	2015M01 	2015 
FLIGHT,CAF_PAS,MK_LWSK_SE_ESMS	129 	105 	56 	42 	44 	43 	35 	32 	38 	128 	130 	130 	118 	42 	42 	44 	44 	44 	42 	44 	44 	42 	40 	34 	44 	506 	153 	184 	132 	106 	42 	51 	60 	60 	62 	62 	44 	44 	44 	40 	31 	35 	575 
FLIGHT,CAF_PAS,MK_LWSK_SI_LJLJ	324 	187 	116 	111 	111 	102 	71 	54 	62 	181 	198 	186 	179 	58 	61 	62 	65 	71 	62 	60 	66 	60 	62 	58 	59 	744 	179 	184 	182 	179 	58 	60 	61 	60 	62 	62 	60 	62 	60 	62 	57 	60 	724 
FLIGHT,CAF_PAS,MK_LWSK_SK_LZIB	179 	182 	70 	63 	62 	54 	66 	54 	62 	180 	186 	182 	44 	58 	60 	62 	62 	64 	60 	60 	60 	62 	44 	: 	: 	592 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,MK_LWSK_TR_LTAI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	137 	29 	: 	: 	: 	: 	36 	53 	48 	24 	5 	: 	: 	: 	: 	166 	: 	116 	33 	: 	: 	: 	: 	4 	60 	52 	33 	: 	: 	: 	: 	: 	149 
FLIGHT,CAF_PAS,MK_LWSK_TR_LTBA	364 	333 	124 	120 	124 	120 	123 	106 	104 	364 	363 	361 	322 	122 	118 	124 	120 	124 	119 	118 	124 	119 	122 	110 	90 	1410 	330 	368 	358 	338 	98 	112 	120 	120 	124 	124 	116 	124 	118 	125 	99 	114 	1394 
FLIGHT,CAF_PAS,MK_LWSK_TR_LTFJ	132 	124 	44 	46 	44 	42 	46 	36 	42 	130 	135 	130 	106 	46 	40 	44 	47 	44 	44 	42 	46 	42 	38 	32 	36 	501 	100 	144 	131 	80 	34 	26 	40 	46 	50 	48 	47 	44 	40 	28 	25 	27 	455 
FLIGHT,CAF_PAS,MK_LWSK_UK_EGGW	130 	84 	44 	42 	44 	44 	30 	24 	30 	107 	126 	108 	109 	38 	31 	38 	38 	44 	44 	38 	36 	34 	39 	32 	38 	450 	108 	132 	130 	96 	33 	33 	42 	44 	44 	44 	42 	44 	44 	36 	30 	30 	466 
FLIGHT,CAF_PAS_ARR,MK_LWSK_AE_OMDB	: 	: 	: 	: 	: 	: 	: 	: 	: 	26 	26 	26 	25 	9 	8 	9 	9 	9 	8 	9 	9 	8 	9 	9 	7 	103 	27 	36 	33 	27 	9 	9 	9 	9 	14 	13 	13 	11 	9 	9 	8 	10 	123 
FLIGHT,CAF_PAS_ARR,MK_LWSK_AT_LOWW	148 	126 	57 	53 	49 	46 	46 	35 	45 	144 	157 	145 	133 	47 	46 	51 	51 	53 	53 	50 	49 	46 	47 	41 	45 	579 	136 	157 	151 	142 	41 	44 	51 	51 	53 	53 	48 	52 	51 	49 	44 	49 	586 
FLIGHT,CAF_PAS_ARR,MK_LWSK_BE_EBCI	26 	26 	10 	9 	9 	8 	9 	8 	9 	26 	26 	26 	25 	8 	8 	10 	8 	9 	9 	8 	9 	9 	8 	9 	8 	103 	23 	26 	26 	25 	5 	9 	9 	8 	9 	9 	9 	9 	8 	9 	8 	8 	100 
FLIGHT,CAF_PAS_ARR,MK_LWSK_CH_LSZH	120 	109 	51 	35 	40 	45 	38 	30 	41 	123 	161 	115 	121 	41 	38 	44 	43 	57 	61 	36 	40 	39 	39 	38 	44 	520 	147 	162 	121 	82 	56 	41 	50 	50 	58 	54 	38 	44 	39 	27 	24 	31 	512 
FLIGHT,CAF_PAS_ARR,MK_LWSK_DE_EDDB	39 	25 	13 	13 	13 	13 	9 	8 	8 	27 	26 	26 	3 	9 	8 	10 	8 	9 	9 	8 	9 	9 	3 	: 	: 	82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_ARR,MK_LWSK_DE_EDDH	26 	25 	9 	8 	9 	9 	8 	8 	9 	23 	27 	21 	: 	7 	8 	8 	9 	9 	9 	8 	9 	4 	: 	: 	: 	71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_ARR,MK_LWSK_DE_EDDK	38 	28 	13 	13 	13 	12 	9 	8 	11 	39 	40 	40 	29 	14 	13 	12 	13 	14 	13 	13 	13 	14 	11 	8 	10 	148 	32 	39 	27 	26 	11 	8 	13 	13 	13 	13 	9 	9 	9 	9 	8 	9 	124 
FLIGHT,CAF_PAS_ARR,MK_LWSK_DE_EDDN	: 	: 	: 	: 	: 	: 	: 	: 	: 	26 	26 	26 	26 	9 	8 	9 	9 	8 	9 	9 	9 	8 	9 	8 	9 	104 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_ARR,MK_LWSK_DE_EDFH	39 	27 	13 	13 	13 	13 	9 	8 	10 	29 	37 	28 	29 	11 	8 	10 	11 	13 	13 	10 	9 	9 	11 	8 	10 	123 	26 	37 	26 	25 	9 	8 	9 	11 	13 	13 	9 	9 	8 	9 	8 	8 	114 
FLIGHT,CAF_PAS_ARR,MK_LWSK_DE_EDJA	26 	36 	11 	9 	8 	9 	10 	12 	14 	39 	39 	39 	39 	13 	13 	13 	13 	13 	13 	13 	13 	13 	14 	12 	13 	156 	39 	39 	39 	39 	13 	12 	14 	13 	13 	13 	13 	13 	13 	13 	12 	14 	156 
FLIGHT,CAF_PAS_ARR,MK_LWSK_DE_EDLW	39 	38 	13 	13 	13 	13 	13 	12 	13 	38 	40 	39 	39 	12 	13 	13 	13 	14 	13 	13 	13 	13 	14 	12 	13 	156 	39 	39 	39 	38 	13 	12 	14 	13 	13 	13 	13 	13 	13 	13 	12 	13 	155 
FLIGHT,CAF_PAS_ARR,MK_LWSK_DE_EDNY	26 	25 	10 	8 	9 	9 	8 	8 	9 	25 	26 	26 	26 	7 	9 	9 	8 	9 	9 	9 	9 	8 	9 	9 	8 	103 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_ARR,MK_LWSK_DK_EKCH	26 	26 	11 	9 	9 	8 	9 	8 	9 	23 	26 	26 	3 	7 	8 	8 	8 	9 	9 	9 	9 	8 	3 	: 	: 	78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_ARR,MK_LWSK_ES_LEBL	: 	: 	: 	: 	: 	: 	: 	: 	: 	25 	27 	26 	26 	7 	9 	9 	9 	9 	9 	8 	9 	9 	9 	8 	9 	104 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_ARR,MK_LWSK_FR_LFOB	: 	: 	: 	: 	: 	: 	: 	: 	: 	25 	27 	26 	26 	7 	9 	9 	9 	9 	9 	8 	9 	9 	9 	8 	9 	104 	26 	37 	26 	26 	9 	8 	9 	11 	13 	13 	9 	9 	8 	9 	8 	9 	115 
FLIGHT,CAF_PAS_ARR,MK_LWSK_FR_LFSB	64 	67 	28 	21 	22 	21 	22 	18 	27 	67 	73 	66 	58 	22 	23 	22 	21 	24 	28 	22 	23 	21 	20 	17 	21 	264 	62 	65 	65 	53 	18 	22 	22 	21 	22 	22 	21 	22 	22 	19 	16 	18 	245 
FLIGHT,CAF_PAS_ARR,MK_LWSK_HR_LDZA	104 	86 	36 	34 	36 	34 	32 	24 	30 	93 	104 	104 	86 	28 	30 	35 	34 	35 	35 	34 	36 	34 	32 	26 	28 	387 	88 	105 	103 	92 	26 	30 	32 	34 	36 	35 	34 	35 	34 	32 	28 	32 	388 
FLIGHT,CAF_PAS_ARR,MK_LWSK_IT_LIME	: 	: 	: 	: 	: 	: 	: 	: 	: 	25 	25 	26 	27 	7 	9 	9 	8 	9 	8 	8 	9 	9 	9 	8 	10 	103 	28 	37 	26 	26 	11 	8 	9 	11 	13 	13 	9 	9 	8 	9 	8 	9 	117 
FLIGHT,CAF_PAS_ARR,MK_LWSK_IT_LIPH	: 	: 	: 	: 	: 	: 	: 	: 	: 	26 	27 	26 	25 	9 	9 	8 	9 	9 	9 	8 	9 	9 	8 	8 	9 	104 	26 	27 	26 	26 	9 	9 	8 	9 	9 	9 	8 	9 	9 	9 	8 	9 	105 
FLIGHT,CAF_PAS_ARR,MK_LWSK_IT_LIRF	: 	: 	: 	: 	: 	: 	: 	: 	: 	63 	90 	91 	77 	: 	30 	33 	29 	31 	30 	30 	31 	30 	27 	25 	25 	321 	79 	91 	91 	74 	25 	25 	29 	30 	31 	30 	30 	31 	30 	27 	21 	26 	335 
FLIGHT,CAF_PAS_ARR,MK_LWSK_NL_EHEH	: 	: 	: 	: 	: 	: 	: 	: 	: 	24 	26 	22 	26 	8 	7 	9 	9 	8 	9 	5 	9 	8 	9 	8 	9 	98 	26 	27 	26 	26 	9 	9 	8 	9 	9 	9 	8 	9 	9 	9 	8 	9 	105 
FLIGHT,CAF_PAS_ARR,MK_LWSK_NO_ENTO	: 	: 	: 	: 	: 	: 	: 	: 	: 	26 	27 	26 	25 	9 	9 	8 	9 	9 	9 	8 	9 	9 	8 	9 	8 	104 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_ARR,MK_LWSK_RS_LYBE	111 	87 	62 	50 	31 	30 	29 	27 	31 	92 	170 	110 	79 	31 	29 	32 	47 	61 	62 	49 	31 	30 	31 	23 	25 	451 	89 	166 	108 	89 	29 	28 	32 	42 	62 	62 	47 	31 	30 	30 	29 	30 	452 
FLIGHT,CAF_PAS_ARR,MK_LWSK_SE_ESGG	39 	38 	16 	13 	13 	13 	13 	12 	13 	40 	39 	39 	29 	14 	13 	13 	13 	13 	13 	13 	13 	13 	10 	8 	11 	147 	42 	53 	39 	30 	13 	13 	16 	17 	18 	18 	13 	13 	13 	11 	8 	11 	164 
